#FIELD,ID,P_merg,dr7objid_1,galcount,TType,objID,RA,Dec,X,Y,PhotoFlag,simple_class
STRIPE82-0032,SPLUS.STRIPE82-0032.24039.griz,0.9921191930770874,588015510352691373,564192,-1.430073618888855,588015510352691373,21.9222,0.9988,1165.178,7456.986999999999,3,Er
STRIPE82-0033,SPLUS.STRIPE82-0033.28910.griz,0.9904127717018127,587731512070504595,147883,-2.2469706535339355,587731512070504595,22.41,-0.5125,7249.054,6727.52,3,Er
STRIPE82-0033,SPLUS.STRIPE82-0033.18167.griz,0.9961122870445251,587731512070832311,147896,-2.3657145500183105,587731512070832311,23.2453,-0.604,1781.7920000000001,6128.4580000000005,2,Er
STRIPE82-0034,SPLUS.STRIPE82-0034.16122.griz,0.9915280342102051,587731513680986192,149957,4.0058979988098145,587731513680986192,22.1972,0.7014,8641.905,5509.876,3,S
STRIPE82-0034,SPLUS.STRIPE82-0034.12933.griz,0.9860160946846008,587731513681313948,149971,-2.3832507133483887,587731513681313948,22.8669,0.6352,4258.958,5076.14,2,Er
STRIPE82-0034,SPLUS.STRIPE82-0034.21160.griz,0.9851369857788086,587731514218053686,150591,-2.454556941986084,587731514218053686,22.6103,1.1466,5938.349,8424.089,3,Ei
STRIPE82-0034,SPLUS.STRIPE82-0034.20108.griz,0.9913090467453003,587731514218315867,150604,-1.9014791250228882,587731514218315867,23.1858,1.1977,2171.949,8758.655,3,Ei
STRIPE82-0034,SPLUS.STRIPE82-0034.00511.griz,0.9847345352172852,588015509279473815,562081,-2.3419241905212402,588015509279473815,23.1538,0.0355,2380.541,1150.9180000000001,2,Ei
STRIPE82-0034,SPLUS.STRIPE82-0034.02817.griz,0.9635795950889587,588015509279539345,562082,2.6351261138916016,588015509279539345,23.1714,0.1467,2265.492,1879.094,3,S
STRIPE82-0034,SPLUS.STRIPE82-0034.08670.griz,0.9894860982894897,588015509816410262,563170,3.6229281425476074,588015509816410262,23.268,0.4242,1633.1470000000002,3695.237,3,S
